Observation id	#4 Dyad Scoring							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Avi Score/4.avi							
								
Observation date	2021-04-16 20:02:55							
								
Description								
								
Time offset (s)	0.0							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1198.298	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1206.908	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1209.213	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1210.114	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1211.516	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1216.120	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1217.221	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1217.922	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1219.425	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1221.027	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1222.123	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1231.436	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1232.836	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Pot	Reproductive		POINT
1237.042	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Entry /Exit Pot	Reproductive		POINT
1242.647	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1246.848	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1252.661	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1254.259	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Dig Substrate	Reproductive		POINT
1262.065	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1263.066	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1263.767	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1264.869	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1276.879	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1277.582	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1280.883	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1281.986	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1282.888	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1283.585	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1285.288	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Foraging	Other		POINT
1288.092	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1301.804	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
1306.110	C:/Users/Kimberly/Desktop/Avi Score/4.avi	5195.690	29.97		Chase	Aggressive		POINT
