Observation id	A2C (sub.)							
								
Media file(s)								
								
Player #1	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4							
								
Observation date	2021-06-14 13:59:42							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1732.903	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1739.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1744.659	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1753.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1761.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1761.903	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1781.403	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1793.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1812.405	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1814.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1824.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1848.154	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1852.403	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1872.658	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1874.151	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1875.654	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1878.154	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1879.656	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1883.651	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1884.154	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1889.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1900.651	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1922.652	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1923.402	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1928.402	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
1969.652	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2003.904	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2006.406	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2012.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2033.657	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2037.405	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2045.402	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2047.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2049.151	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2054.405	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2056.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2059.156	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2064.652	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2067.156	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2072.406	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2073.404	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2074.155	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2078.654	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2081.904	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2083.655	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2084.407	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2086.405	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
2090.152	C:/Users/Kimberly/Desktop/Video Stitching/A2C/AC2 Stitched.mp4	2126.290	30.0	Subordinate	Fleeing Male	Subordinate		POINT
