,Behavior,Behavior next,Behavioral category,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_0,prob_1,prob_2,prob_3,avg,stderr
32,Pot Dig,Pot Dig,Reproductive,0.014492753623188406,0.017467248908296942,0.007518796992481204,0.014457831325301205,0.00641025641025641,0.008928571428571428,0.04472843450479233,0.006122448979591836,0.0113314447592068,0.09370816599732262,0.026262626262626262,0.01916932907348243,0.020522388059701493,0.019801980198019802,0.020482510498451678,0.003931552267410846
33,Quiver,Charge,Reproductive,0.007246376811594203,0.002183406113537118,0.0,0.0,0.0,0.001488095238095238,0.0,0.004081632653061225,0.0,0.002677376171352075,0.00404040404040404,0.0015974440894568692,0.0,0.019801980198019802,0.0035448330258423906,0.0012186667653168366
34,Quiver,Entry/Exit Pot,Reproductive,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00141643059490085,0.0013386880856760374,0.0,0.0,0.0018656716417910447,0.04950495049504951,0.006112812281847036,0.0031244938835598536
35,Quiver,Lead,Reproductive,0.021739130434782608,0.006550218340611353,0.001879699248120301,0.007228915662650603,0.0,0.002976190476190476,0.003194888178913738,0.024489795918367346,0.007082152974504249,0.004016064257028112,0.0,0.004792332268370608,0.0037313432835820895,0.07920792079207921,0.01327355508479079,0.004783883574200379
36,Quiver,Scrape,Reproductive,0.007246376811594203,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009501368197020371,0.0005227520862117091
37,Scrape,Biting,Aggressive,0.028985507246376812,0.006550218340611353,0.001879699248120301,0.006024096385542169,0.0,0.0,0.01437699680511182,0.014285714285714285,0.0113314447592068,0.012048192771084338,0.006060606060606061,0.007987220447284346,0.0018656716417910447,0.0,0.007761290334626428,0.0017487801431508416
38,Scrape,Charge,Aggressive,0.007246376811594203,0.0,0.009398496240601505,0.0012048192771084338,0.01282051282051282,0.002976190476190476,0.004792332268370607,0.0020408163265306124,0.0,0.013386880856760375,0.00404040404040404,0.009584664536741215,0.009328358208955223,0.009900990099009901,0.006246588689872452,0.0009213552619841473
39,Scrape,Entry/Exit Pot,Aggressive,0.007246376811594203,0.002183406113537118,0.001879699248120301,0.0,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001173356932973499,0.00046880954624281985
40,Scrape,Foraging,Aggressive,0.007246376811594203,0.017467248908296942,0.001879699248120301,0.004819277108433735,0.00641025641025641,0.001488095238095238,0.003194888178913738,0.004081632653061225,0.014164305949008499,0.0013386880856760374,0.0,0.012779552715654953,0.0018656716417910447,0.0,0.005581523608308796,0.0012217012242139128
41,Scrape,Lead,Aggressive,0.050724637681159424,0.010917030567685589,0.007518796992481204,0.004819277108433735,0.0,0.0,0.009584664536741214,0.02857142857142857,0.009915014164305949,0.006693440428380187,0.00404040404040404,0.014376996805111822,0.0,0.009900990099009901,0.011789127922246699,0.003007791289690164
42,Scrape,Scrape,Aggressive,0.007246376811594203,0.013100436681222707,0.0,0.0036144578313253013,0.08974358974358974,0.001488095238095238,0.009584664536741214,0.01020408163265306,0.019830028328611898,0.013386880856760375,0.00404040404040404,0.0031948881789137383,0.0018656716417910447,0.0,0.00956190048667971,0.003987945191578718
43,Biting,Foraging,Aggressive,0.0,0.002183406113537118,0.011278195488721806,0.021686746987951807,0.0,0.002976190476190476,0.01597444089456869,0.0,0.021246458923512748,0.009370816599732263,0.00202020202020202,0.006389776357827477,0.005597014925373134,0.0,0.006721754121874132,0.0015888512658636747
44,Biting,Frontal Side Display,Aggressive,0.0,0.004366812227074236,0.0,0.0012048192771084338,0.0,0.0,0.001597444089456869,0.0,0.0,0.0013386880856760374,0.0,0.0,0.007462686567164179,0.0,0.0013183985599012093,0.0005065132641064383
45,Chase,Charge,Aggressive,0.0,0.002183406113537118,0.03383458646616542,0.0036144578313253013,0.00641025641025641,0.046130952380952384,0.001597444089456869,0.0,0.0,0.008032128514056224,0.030303030303030304,0.011182108626198084,0.016791044776119403,0.009900990099009901,0.012626819537522406,0.0029055865320391527
46,Chase,Dig Substrate,Aggressive,0.0,0.010917030567685589,0.009398496240601505,0.0012048192771084338,0.01282051282051282,0.005952380952380952,0.009584664536741214,0.0,0.00141643059490085,0.002677376171352075,0.010101010101010102,0.004792332268370608,0.007462686567164179,0.0,0.0054638234145349416,0.0009572796799712618
47,Chase,Foraging,Aggressive,0.0,0.019650655021834062,0.015037593984962409,0.0,0.038461538461538464,0.01488095238095238,0.004792332268370607,0.0,0.0169971671388102,0.002677376171352075,0.00808080808080808,0.014376996805111822,0.013059701492537313,0.0,0.00991913078143323,0.0020622725754978867
